class,tel,filt,night,exposure,imageid
0,3,c,a60022o0354,06484,03a60022o0354c
0,1,o,a59529o0523,00449,01a59529o0523o
0,4,o,a60005o0155,02281,04a60005o0155o
0,1,o,a59870o0034,00900,01a59870o0034o
0,3,o,a60031o0128,08895,03a60031o0128o
0,1,o,a59014o0401,04099,01a59014o0401o
0,2,o,a60021o0684,00143,02a60021o0684o
0,2,o,a60022o0442,02102,02a60022o0442o
0,3,c,a59965o0498,02412,03a59965o0498c
0,2,c,a59880o0148,02542,02a59880o0148c
0,1,o,a59084o0525,01545,01a59084o0525o
0,4,c,a60058o0769,08841,04a60058o0769c
0,2,o,a57440o0638,04492,02a57440o0638o
0,4,c,a59993o0034,03731,04a59993o0034c
0,1,c,a59430o0500,09530,01a59430o0500c
0,1,o,a59028o0719,10169,01a59028o0719o
0,1,o,a59870o0741,02752,01a59870o0741o
0,2,o,a60028o0651,02198,02a60028o0651o
0,2,c,a59223o0121,02672,02a59223o0121c
0,2,o,a60029o0470,02509,02a60029o0470o
0,1,o,a59028o0719,06524,01a59028o0719o
0,2,c,a59876o0743,00175,02a59876o0743c
0,2,c,a60057o0516,02890,02a60057o0516c
0,2,o,a60023o0461,02125,02a60023o0461o
0,1,o,a57931o0246,07220,01a57931o0246o
0,2,c,a59880o0156,00797,02a59880o0156c
0,2,o,a59917o0255,02429,02a59917o0255o
0,4,c,a59879o0285,03681,04a59879o0285c
0,4,c,a59998o0794,00469,04a59998o0794c
0,3,c,a60022o0354,03507,03a60022o0354c
0,3,o,a60016o0449,00908,03a60016o0449o
0,2,c,a59876o0580,01265,02a59876o0580c
0,1,o,a59875o0613,02700,01a59875o0613o
0,1,o,a59521o0546,02181,01a59521o0546o
0,4,o,a59927o0349,02933,04a59927o0349o
0,1,o,a59876o0533,03228,01a59876o0533o
0,3,c,a59899o0265,00436,03a59899o0265c
0,3,c,a60022o0366,08716,03a60022o0366c
0,3,c,a60016o0064,09152,03a60016o0064c
0,2,c,a59881o0592,13757,02a59881o0592c
0,3,o,a60012o0704,01277,03a60012o0704o
0,3,o,a59988o0117,02944,03a59988o0117o
0,2,o,a59869o0625,03552,02a59869o0625o
0,1,o,a59020o0743,02862,01a59020o0743o
0,2,o,a59487o0740,03992,02a59487o0740o
0,1,o,a59871o0503,03420,01a59871o0503o
0,1,o,a59084o0557,01864,01a59084o0557o
0,3,c,a60032o0400,03024,03a60032o0400c
0,1,o,a59292o0124,03860,01a59292o0124o
0,1,o,a59880o0461,02424,01a59880o0461o
0,1,o,a59875o0499,01610,01a59875o0499o
0,1,o,a59872o0438,02750,01a59872o0438o
0,2,o,a59884o0484,02352,02a59884o0484o
0,2,o,a60067o0381,00682,02a60067o0381o
0,2,c,a59882o0415,01011,02a59882o0415c
0,2,c,a59518o0627,02229,02a59518o0627c
0,3,c,a59849o0716,01494,03a59849o0716c
0,4,o,a60001o0153,07873,04a60001o0153o
0,1,c,a59855o0500,00228,01a59855o0500c
0,2,o,a59884o0484,02017,02a59884o0484o
0,1,c,a59900o0426,01204,01a59900o0426c
0,4,c,a59879o0310,00746,04a59879o0310c
0,2,c,a59876o0231,03354,02a59876o0231c
0,4,o,a60084o0437,02242,04a60084o0437o
0,2,c,a59082o0601,03389,02a59082o0601c
0,1,o,a59119o0037,15140,01a59119o0037o
0,3,c,a60016o0197,13203,03a60016o0197c
0,2,o,a60071o0420,02621,02a60071o0420o
0,4,o,a59915o0677,05000,04a59915o0677o
0,4,o,a59983o0489,04863,04a59983o0489o
0,4,o,a59833o0052,05863,04a59833o0052o
0,1,o,a59610o0542,04437,01a59610o0542o
0,2,o,a60020o0537,03278,02a60020o0537o
0,3,c,a59899o0265,00437,03a59899o0265c
0,2,o,a60026o0265,02537,02a60026o0265o
0,2,o,a59519o0866,05307,02a59519o0866o
0,1,o,a59871o0508,00615,01a59871o0508o
0,1,o,a59823o0798,01222,01a59823o0798o
0,2,o,a59914o0559,00901,02a59914o0559o
0,1,o,a59084o0525,02520,01a59084o0525o
0,3,o,a60006o0382,05189,03a60006o0382o
0,3,o,a60021o0902,00931,03a60021o0902o
0,3,o,a60031o0144,02762,03a60031o0144o
0,1,o,a59880o0461,02314,01a59880o0461o
0,3,c,a59897o0231,01744,03a59897o0231c
0,1,o,a59020o0789,02742,01a59020o0789o
0,1,o,a59529o0861,00609,01a59529o0861o
0,3,o,a60044o0508,01058,03a60044o0508o
0,1,o,a59880o0461,03424,01a59880o0461o
0,3,o,a60004o0805,00276,03a60004o0805o
0,2,c,a59769o0635,02901,02a59769o0635c
0,2,o,a59478o0373,03963,02a59478o0373o
0,1,o,a59614o0048,00623,01a59614o0048o
0,4,o,a59983o0468,02364,04a59983o0468o
0,4,o,a60022o0775,02277,04a60022o0775o
0,3,o,a60031o0170,03082,03a60031o0170o
0,4,c,a59879o0276,00963,04a59879o0276c
0,1,o,a59295o0552,02594,01a59295o0552o
0,2,o,a60024o0524,02313,02a60024o0524o
0,1,o,a59030o0415,04416,01a59030o0415o
0,3,c,a59849o0812,01591,03a59849o0812c
0,4,c,a60058o0769,03038,04a60058o0769c
0,2,o,a59916o0455,06158,02a59916o0455o
0,2,o,a59893o0319,00905,02a59893o0319o
0,3,c,a60025o0709,01917,03a60025o0709c
0,2,o,a57907o0432,17502,02a57907o0432o
0,2,o,a59913o0475,09615,02a59913o0475o
0,2,c,a59882o0623,03735,02a59882o0623c
0,1,o,a59870o0034,00473,01a59870o0034o
0,3,c,a60032o0314,03073,03a60032o0314c
0,2,o,a57907o0432,32049,02a57907o0432o
0,1,o,a59503o0370,01540,01a59503o0370o
0,4,c,a59995o0390,00840,04a59995o0390c
0,4,o,a60022o0719,04674,04a60022o0719o
0,1,c,a59850o0410,02177,01a59850o0410c
0,3,o,a59988o0756,01422,03a59988o0756o
0,4,o,a59989o0422,02776,04a59989o0422o
0,2,o,a60023o0791,04215,02a60023o0791o
0,1,o,a59015o0744,04629,01a59015o0744o
0,4,o,a59911o0408,05845,04a59911o0408o
0,2,o,a60022o0507,02167,02a60022o0507o
0,4,o,a59977o0211,01449,04a59977o0211o
0,4,o,a59911o0401,03241,04a59911o0401o
0,2,o,a60024o0473,02212,02a60024o0473o
0,1,o,a59880o0461,01600,01a59880o0461o
0,1,o,a59346o0185,04498,01a59346o0185o
0,2,c,a59223o0483,02105,02a59223o0483c
0,2,o,a57466o0533,04193,02a57466o0533o
0,3,c,a60025o0630,00874,03a60025o0630c
0,1,o,a59594o0491,00065,01a59594o0491o
0,4,c,a59939o0208,03114,04a59939o0208c
0,1,c,a59899o0289,02075,01a59899o0289c
0,2,c,a59082o0601,00409,02a59082o0601c
0,2,o,a60026o0265,00467,02a60026o0265o
0,1,o,a59597o0399,02823,01a59597o0399o
0,2,c,a59880o0052,00234,02a59880o0052c
0,3,o,a60020o0364,00070,03a60020o0364o
0,2,c,a59223o0121,00589,02a59223o0121c
0,1,o,a59618o0753,00210,01a59618o0753o
0,4,o,a59955o0152,01022,04a59955o0152o
0,2,o,a60029o0575,00613,02a60029o0575o
0,4,o,a59899o0176,02813,04a59899o0176o
0,1,o,a59084o0525,03665,01a59084o0525o
0,3,o,a60033o0366,01948,03a60033o0366o
0,3,c,a59965o0671,02625,03a59965o0671c
0,2,o,a59607o0239,01647,02a59607o0239o
0,4,o,a59887o0391,01429,04a59887o0391o
0,3,c,a60023o0586,05660,03a60023o0586c
0,1,o,a59875o0059,02866,01a59875o0059o
0,3,o,a60031o0128,09094,03a60031o0128o
0,1,o,a59871o0508,00534,01a59871o0508o
0,1,o,a59015o0497,29004,01a59015o0497o
0,2,o,a59222o1012,01500,02a59222o1012o
0,4,o,a59919o0179,01937,04a59919o0179o
0,2,c,a59876o0580,00864,02a59876o0580c
0,4,c,a59989o0288,06019,04a59989o0288c
0,1,o,a59862o0286,00681,01a59862o0286o
0,1,o,a59875o0521,03051,01a59875o0521o
0,3,o,a60005o0764,00281,03a60005o0764o
0,1,o,a59346o0185,03629,01a59346o0185o
0,1,o,a59880o0461,02541,01a59880o0461o
0,2,c,a59880o0148,00224,02a59880o0148c
0,2,c,a59876o0568,01410,02a59876o0568c
0,1,o,a59014o0395,03784,01a59014o0395o
0,1,c,a59850o0757,02299,01a59850o0757c
0,3,c,a59849o0812,00049,03a59849o0812c
0,1,o,a58797o0241,01973,01a58797o0241o
0,3,o,a59988o0117,04156,03a59988o0117o
0,4,o,a60037o0645,04024,04a60037o0645o
0,2,c,a59821o0781,04778,02a59821o0781c
0,2,o,a60028o0658,02198,02a60028o0658o
0,4,o,a59622o0605,04046,04a59622o0605o
0,4,c,a60058o0769,03039,04a60058o0769c
0,3,o,a60005o0764,02330,03a60005o0764o
0,3,c,a60025o0605,00838,03a60025o0605c
0,2,o,a60028o0651,02793,02a60028o0651o
0,2,o,a59478o0373,03542,02a59478o0373o
0,1,o,a59020o0659,00492,01a59020o0659o
0,2,o,a59914o0683,04996,02a59914o0683o
0,2,o,a59885o0293,03363,02a59885o0293o
0,3,c,a60032o0182,00207,03a60032o0182c
0,4,c,a59871o0261,03859,04a59871o0261c
0,4,c,a59939o0075,02905,04a59939o0075c
0,1,o,a59876o0593,00701,01a59876o0593o
0,3,o,a60016o0442,00092,03a60016o0442o
0,4,c,a59813o0399,03237,04a59813o0399c
0,2,o,a60021o0643,03796,02a60021o0643o
0,2,o,a60071o0407,02526,02a60071o0407o
0,2,o,a59895o0074,03373,02a59895o0074o
0,1,o,a59098o0612,02432,01a59098o0612o
0,2,o,a60029o0470,02058,02a60029o0470o
0,2,o,a59869o0625,01866,02a59869o0625o
0,3,o,a59977o0556,01730,03a59977o0556o
0,1,o,a59838o0505,02103,01a59838o0505o
0,2,o,a60029o0470,02510,02a60029o0470o
0,3,c,a59849o0716,01493,03a59849o0716c
0,3,c,a59906o0234,00162,03a59906o0234c
0,3,o,a59933o0559,04333,03a59933o0559o
0,4,c,a59927o0068,02689,04a59927o0068c
0,2,o,a60022o0845,04137,02a60022o0845o
0,1,o,a59880o0461,02250,01a59880o0461o
0,4,o,a59679o0560,03979,04a59679o0560o
0,1,o,a59875o0487,00944,01a59875o0487o
0,2,o,a60085o0114,00597,02a60085o0114o
